Country,Year,Population,GDP (Billion USD),Unemployment Rate (%),Internet Users (%),Continent
USA,2004,804307447,8996.25,5.82,50.98,North America
Canada,2019,641335585,18992.15,4.1,41.6,North America
Germany,2021,773252578,1608.88,14.11,82.61,Europe
USA,2004,1130738728,22957.25,9.42,48.3,North America
Canada,2003,1166283175,4373.15,22.89,91.25,North America
Germany,2008,790611373,4047.82,6.31,33.89,Europe
France,2021,1141700623,21032.01,15.87,89.78,Europe
Canada,2009,139947011,21745.14,22.71,34.78,North America
Germany,2015,857291740,2415.04,3.09,35.77,Europe
China,2009,616684222,22727.1,13.87,47.43,Asia
Russia,2009,722973054,6905.12,12.37,55.91,Europe/Asia
China,2018,94772255,15503.68,23.36,47.22,Asia
Russia,2009,706631200,1807.98,17.27,86.73,Europe/Asia
India,2005,605282252,9578.46,10.03,80.81,Asia
India,2016,561864154,11323.04,18.36,37.58,Asia
India,2004,944495569,15035.68,15.4,55.53,Asia
France,2005,772295505,13179.27,9.98,48.36,Europe
China,2023,871539221,11591.17,20.06,14.99,Asia
Russia,2014,183411197,23995.04,17.37,76.59,Europe/Asia
Germany,2024,481374669,4707.07,2.12,26.17,Europe
USA,2018,603415206,4034.06,21.9,93.14,North America
Germany,2017,1200740117,17864.13,11.13,45.4,Europe
USA,2003,196862194,1956.34,16.85,65.38,North America
UK,2007,777400873,12124.0,11.13,82.83,Europe
Germany,2015,391784860,12152.92,22.27,26.05,Europe
Canada,2023,579423941,7819.63,16.97,58.16,North America
Canada,2018,386255537,23268.05,15.33,31.13,North America
Brazil,2019,1005438147,7135.33,24.55,55.36,South America
China,2002,399146186,7282.2,8.45,61.57,Asia
USA,2009,1371689993,5934.07,3.5,25.05,North America
USA,2001,240244891,3730.12,13.87,61.69,North America
China,2003,761356618,9163.88,11.75,50.49,Asia
France,2005,678843150,17054.09,12.45,56.46,Europe
Brazil,2010,916533267,18579.86,16.26,90.54,South America
France,2013,502450170,20354.13,16.15,53.06,Europe
France,2015,802355159,5018.84,11.02,52.38,Europe
France,2020,440876455,987.25,21.85,51.87,Europe
China,2018,670698146,24369.68,16.98,65.46,Asia
France,2001,1299483424,456.88,22.47,42.71,Europe
Canada,2024,1089987987,24020.9,23.0,81.32,North America
India,2016,383321359,20737.48,5.85,35.46,Asia
UK,2008,74650760,22810.66,17.65,36.66,Europe
USA,2016,1168108062,9740.92,9.3,62.4,North America
USA,2014,1257869264,5010.33,21.24,33.13,North America
UK,2006,1151783034,15200.95,18.86,18.01,Europe
China,2021,46396735,18557.15,6.57,28.3,Asia
Germany,2022,1198834799,3358.44,23.59,91.32,Europe
China,2018,780869462,19960.78,17.72,10.95,Asia
USA,2002,563923205,5293.97,23.82,21.88,North America
USA,2000,60985718,12342.76,6.64,77.47,North America
UK,2003,339757126,21426.41,22.0,97.21,Europe
France,2017,897378103,4916.27,17.37,71.25,Europe
China,2007,95964079,6122.93,14.7,92.09,Asia
Russia,2018,38892713,1663.0,20.87,86.12,Europe/Asia
UK,2022,762025633,3750.69,16.56,52.72,Europe
Canada,2022,850564731,3748.49,17.4,39.68,North America
USA,2024,944366139,5165.34,7.83,66.27,North America
UK,2005,155343923,7226.39,20.79,57.49,Europe
China,2000,89353774,20393.09,16.96,12.3,Asia
USA,2007,1083395034,22902.52,21.42,95.2,North America
Germany,2000,287267276,10216.39,10.09,60.75,Europe
UK,2018,1193465735,3292.4,9.63,87.83,Europe
Brazil,2010,1345271996,5672.87,2.55,75.38,South America
USA,2020,377051874,18431.53,19.68,40.33,North America
China,2023,771154396,16967.9,9.6,90.2,Asia
India,2024,605856652,24183.46,9.53,80.35,Asia
Russia,2014,1398866241,460.77,17.84,48.25,Europe/Asia
Australia,2022,70254560,18793.89,7.82,84.8,Oceania
France,2024,244105735,12694.26,22.91,34.17,Europe
Australia,2010,1189288376,22577.06,14.38,69.69,Oceania
China,2018,194994042,14446.55,24.3,20.2,Asia
Canada,2020,670794599,11222.03,3.76,87.05,North America
Canada,2009,659237940,16679.68,9.75,74.92,North America
India,2023,515711728,20854.73,10.77,23.58,Asia
France,2011,1349952040,7134.21,18.8,11.9,Europe
Brazil,2000,826189157,2777.42,6.9,44.7,South America
India,2023,1200168347,10882.15,10.63,70.1,Asia
Australia,2006,718629134,5441.54,22.94,35.2,Oceania
India,2016,820257558,10795.58,4.63,96.62,Asia
Australia,2009,321137047,24777.1,19.14,93.19,Oceania
USA,2005,834309324,14395.64,18.16,63.22,North America
Canada,2016,1355015316,17370.65,5.0,38.09,North America
USA,2017,441805045,16980.42,17.84,89.77,North America
Russia,2004,56665995,20535.45,15.11,81.51,Europe/Asia
France,2017,793572031,23608.8,8.61,17.67,Europe
Brazil,2016,1058580300,16504.57,9.16,52.39,South America
Australia,2021,1174400102,11954.76,21.16,97.33,Oceania
Brazil,2015,1348841389,8013.99,7.31,50.4,South America
Australia,2007,856741034,9070.83,13.79,93.03,Oceania
China,2023,1053924251,8428.57,17.67,96.98,Asia
India,2012,596812493,8179.19,4.99,44.47,Asia
Russia,2023,1082617552,17396.16,23.44,95.85,Europe/Asia
Canada,2015,139447639,14733.95,7.99,22.28,North America
Australia,2010,76559156,5129.68,9.33,24.25,Oceania
Brazil,2005,1153814521,24243.69,17.32,34.61,South America
Russia,2002,1152101630,10750.37,3.8,51.61,Europe/Asia
Germany,2000,1108834145,14195.55,16.44,26.11,Europe
Germany,2017,507201199,17594.76,23.07,40.28,Europe
USA,2004,1233613001,15380.57,7.73,19.23,North America
Canada,2012,930765780,7845.19,10.32,48.27,North America
China,2009,494535065,19962.89,7.34,83.65,Asia
Brazil,2004,604964940,2842.83,20.83,62.96,South America
India,2013,1385540751,14268.0,5.85,82.1,Asia
India,2016,199767262,6905.6,9.97,22.08,Asia
Brazil,2000,1284447172,15432.48,15.82,45.55,South America
France,2024,939185119,5528.04,11.3,13.5,Europe
China,2001,183150126,19327.77,3.51,42.93,Asia
Russia,2006,496597256,5765.65,23.8,64.69,Europe/Asia
Australia,2009,849251894,22270.76,9.77,60.63,Oceania
France,2019,959385132,21552.72,12.25,15.37,Europe
Australia,2006,125989773,9123.6,5.85,15.52,Oceania
Australia,2023,765815631,9706.93,21.9,37.15,Oceania
France,2015,100212330,17567.44,8.7,78.65,Europe
USA,2004,793612307,2350.3,2.46,11.83,North America
Germany,2011,71920510,2114.89,9.28,64.82,Europe
Australia,2016,933675051,3494.47,24.63,26.35,Oceania
France,2015,1299556552,14105.64,5.38,94.04,Europe
France,2019,1242266496,3810.16,2.72,48.29,Europe
UK,2015,1169176659,7012.67,15.3,14.26,Europe
USA,2018,154036780,16208.09,10.55,73.51,North America
Canada,2014,589853701,489.03,20.28,53.13,North America
UK,2011,166253065,4587.89,18.83,88.43,Europe
UK,2020,732215727,23255.27,6.26,68.01,Europe
Brazil,2009,627589562,16623.08,14.99,71.63,South America
Germany,2021,871241184,7708.22,2.75,78.29,Europe
France,2001,228795791,1228.06,12.11,47.41,Europe
Germany,2006,639755589,14692.62,18.42,80.54,Europe
China,2012,855888769,5649.37,11.54,14.51,Asia
Brazil,2002,899447611,24008.37,4.71,78.13,South America
Canada,2014,467275139,17205.33,3.42,66.63,North America
Germany,2000,544512316,24355.68,21.63,60.43,Europe
India,2002,1253983232,21237.58,22.5,38.32,Asia
Australia,2024,350097198,12127.38,9.89,20.16,Oceania
China,2009,734385193,16772.12,5.78,67.6,Asia
USA,2014,158659599,20321.47,24.51,51.98,North America
Canada,2021,222192108,14496.64,14.55,29.39,North America
China,2005,798036857,1631.04,12.96,13.86,Asia
Australia,2019,236977902,11814.11,19.06,57.95,Oceania
Brazil,2014,1139351809,3351.28,5.88,21.24,South America
Australia,2023,1202351859,17899.68,15.34,92.72,Oceania
UK,2020,502801344,17047.66,22.47,23.41,Europe
Australia,2006,107118105,24823.41,2.53,12.85,Oceania
UK,2024,181174538,15757.36,17.48,33.32,Europe
Brazil,2020,96564537,20023.43,14.68,25.57,South America
Russia,2004,785916329,6780.37,23.87,80.42,Europe/Asia
UK,2003,931777856,8566.6,7.95,35.75,Europe
USA,2021,1321485962,22933.9,21.75,31.83,North America
Australia,2017,474446743,18904.29,9.11,98.54,Oceania
Australia,2002,256100617,16416.2,11.89,23.36,Oceania
USA,2016,1243876045,6425.29,6.91,17.56,North America
India,2017,722994950,17494.59,21.86,37.2,Asia
France,2017,1314650582,22180.41,6.49,46.05,Europe
Russia,2023,209853397,5846.86,21.76,77.68,Europe/Asia
Canada,2023,1123152251,17682.49,12.48,95.03,North America
UK,2001,755315491,9902.98,21.21,77.97,Europe
USA,2012,1232973303,3057.31,8.08,74.67,North America
Brazil,2021,678749613,19110.17,5.05,98.24,South America
UK,2014,820446546,4261.71,14.76,78.12,Europe
France,2004,1320327046,6397.12,13.72,22.42,Europe
Brazil,2002,677431810,19595.26,10.2,51.08,South America
China,2004,1319002622,18579.11,17.24,54.81,Asia
Australia,2004,828827054,6429.16,4.19,37.13,Oceania
China,2004,536993476,23530.02,16.31,24.62,Asia
UK,2002,1300244615,5460.6,6.87,73.34,Europe
France,2002,1157929101,24841.19,4.97,34.7,Europe
Russia,2019,566951676,18473.71,22.92,65.59,Europe/Asia
UK,2022,1220922275,9873.44,12.58,38.71,Europe
USA,2017,533588806,3345.7,19.56,55.06,North America
Germany,2019,875664241,8080.7,4.05,40.0,Europe
UK,2003,619466527,4924.09,3.32,46.65,Europe
Australia,2000,743735175,15583.81,13.38,75.15,Oceania
Australia,2015,314045579,8985.69,9.26,88.66,Oceania
UK,2007,52578953,7445.68,2.11,55.28,Europe
Brazil,2016,363286590,18952.62,6.22,64.31,South America
Germany,2007,176749261,5841.93,7.03,86.93,Europe
USA,2006,317395621,14713.54,8.64,22.75,North America
UK,2024,725081728,4945.44,22.18,24.44,Europe
Brazil,2007,26792704,17898.49,11.67,41.97,South America
Australia,2020,188696189,15665.52,17.63,37.51,Oceania
Australia,2023,1096712275,19974.02,2.42,97.79,Oceania
France,2011,1155935193,1805.58,20.72,60.2,Europe
UK,2015,1322398571,5331.63,7.53,56.63,Europe
Germany,2011,241643266,3946.06,9.11,61.51,Europe
India,2018,584901802,4844.97,3.04,87.89,Asia
Germany,2009,226878652,2665.05,11.42,31.68,Europe
Australia,2006,1212615532,14095.84,21.61,55.48,Oceania
Australia,2011,217863498,14876.44,10.71,34.12,Oceania
China,2019,141981703,21102.89,22.9,79.47,Asia
Australia,2004,1320816156,10501.68,21.95,79.16,Oceania
USA,2015,537111305,13356.38,3.43,95.21,North America
Canada,2008,145321185,24783.47,9.02,49.77,North America
UK,2006,577801069,13342.94,22.94,24.12,Europe
Germany,2019,285561744,14382.04,2.69,89.78,Europe
Canada,2021,817028769,24898.34,19.61,89.26,North America
Brazil,2013,1259690519,24853.82,22.85,30.89,South America
India,2010,488447742,10658.36,19.72,34.59,Asia
USA,2006,411969135,15910.18,19.11,37.89,North America
Germany,2009,1079519055,12071.98,21.4,50.21,Europe
Canada,2008,472292568,18045.81,17.31,83.78,North America
India,2003,1179313031,23465.82,11.73,22.85,Asia
China,2015,853858035,7810.52,3.44,72.33,Asia
USA,2009,343879021,20489.99,20.12,41.4,North America
USA,2018,657487064,16405.74,22.82,27.41,North America
China,2023,88386857,7076.6,13.77,40.12,Asia
UK,2016,464965206,19952.76,14.25,57.46,Europe
China,2008,150799874,10735.61,11.28,92.01,Asia
USA,2012,239343537,3097.89,21.71,65.92,North America
USA,2000,459080033,24836.07,2.34,64.03,North America
Canada,2001,539498207,10698.59,16.36,19.68,North America
Australia,2012,690590556,13584.66,22.87,17.1,Oceania
India,2023,315763784,20218.25,4.37,21.52,Asia
China,2008,760078337,24025.82,24.06,18.5,Asia
India,2006,649690360,21834.91,24.26,61.3,Asia
China,2015,178959718,13173.82,23.39,50.28,Asia
Brazil,2018,1338635462,13687.83,12.64,10.44,South America
USA,2006,80310445,7094.08,10.81,41.24,North America
Australia,2005,1290496132,11623.79,18.24,21.34,Oceania
Canada,2017,267180743,23676.29,9.33,97.94,North America
Australia,2018,100778655,18200.83,3.57,50.95,Oceania
Australia,2010,809090997,395.74,22.73,47.93,Oceania
Australia,2011,442732965,3001.02,16.6,67.33,Oceania
India,2009,403331372,23102.9,6.76,41.78,Asia
China,2012,670659919,21233.11,2.42,73.68,Asia
Russia,2011,1314854740,12205.5,18.64,90.53,Europe/Asia
Brazil,2020,1064993475,15462.76,21.61,54.4,South America
Germany,2009,488042091,7312.19,11.33,44.08,Europe
Australia,2019,219803638,19841.49,3.86,56.45,Oceania
UK,2017,454474286,15122.6,16.92,63.72,Europe
India,2003,402519335,17401.16,8.83,85.45,Asia
Canada,2023,1049559666,9435.25,5.31,45.11,North America
Germany,2004,853776093,10817.91,13.74,14.58,Europe
Russia,2004,116117648,5271.28,13.08,66.14,Europe/Asia
UK,2011,160807915,23706.51,13.89,97.83,Europe
Russia,2002,1295496186,23669.27,20.95,86.03,Europe/Asia
Germany,2007,685023747,20462.01,13.14,77.48,Europe
Australia,2021,1168767877,23395.32,22.71,25.71,Oceania
UK,2001,605813951,16666.67,21.36,76.63,Europe
Russia,2017,72530109,5942.83,16.98,17.25,Europe/Asia
Canada,2008,472138383,19029.24,3.31,53.96,North America
China,2012,1124072473,8199.38,21.89,43.01,Asia
USA,2006,961983416,11067.99,22.83,90.57,North America
China,2009,108482006,6931.32,10.63,24.23,Asia
Germany,2008,1181563788,10648.19,14.1,80.21,Europe
India,2021,304414446,17015.0,8.46,14.32,Asia
USA,2014,763842768,2854.2,2.34,72.46,North America
Brazil,2004,166068925,2719.65,13.03,36.15,South America
Canada,2011,75684085,17125.87,4.98,96.86,North America
Brazil,2000,294036250,19511.57,6.22,69.79,South America
UK,2011,33471010,13831.52,13.06,37.49,Europe
USA,2021,225488269,4622.86,21.94,30.96,North America
Brazil,2005,913090718,10825.85,21.43,66.9,South America
Brazil,2018,857089452,18978.57,24.2,34.27,South America
Russia,2018,281268909,17174.75,13.1,26.63,Europe/Asia
China,2015,965514867,2835.65,14.7,67.64,Asia
Russia,2018,161107108,24231.76,20.91,74.46,Europe/Asia
USA,2002,62019334,5661.76,18.09,31.18,North America
