Country,Year,Population,GDP (Billion USD),Unemployment Rate (%),Internet Users (%),Continent,Rank
Canada,2000,208584959,6084,11,48,North America,★★
Brazil,2000,216208063,10738,13,36,South America,★★★
Brazil,2000,221493072,14053,13,34,South America,★★★
UK,2000,221594134,21473,8,98,Europe,★★★★★
France,2000,223436631,6230,7,97,Europe,★★
Germany,2000,230773026,9322,22,19,Europe,★★
Australia,2000,233850415,2344,17,19,Oceania,★
Brazil,2000,234080866,11425,4,14,South America,★★★
Germany,2000,245888491,23900,8,53,Europe,★★★★★
Australia,2000,247955270,19381,23,44,Oceania,★★★★
UK,2000,249104352,16249,9,50,Europe,★★★★
Russia,2000,253682867,2582,13,55,Europe/Asia,★
India,2000,267350940,22193,13,34,Asia,★★★★★
Brazil,2000,274912402,9585,5,49,South America,★★
Brazil,2000,279007204,8204,22,43,South America,★★
India,2000,281428757,5539,2,24,Asia,★★
India,2000,281827107,18371,14,77,Asia,★★★★
Germany,2000,287267276,10216,10,60,Europe,★★★
Germany,2000,288550099,6991,23,98,Europe,★★
Brazil,2000,290477632,14867,8,74,South America,★★★
Brazil,2000,294036250,19511,6,69,South America,★★★★
USA,2000,308737036,9037,11,17,North America,★★
Germany,2000,313535760,15773,12,92,Europe,★★★★
France,2000,314844661,24381,5,50,Europe,★★★★★
USA,2000,321585269,18185,20,13,North America,★★★★
Russia,2000,323490640,601,24,94,Europe/Asia,★
India,2000,329155663,15098,9,38,Asia,★★★★
Canada,2000,331827148,20272,11,34,North America,★★★★★
France,2000,335551192,9214,3,22,Europe,★★
China,2000,341275382,3553,13,45,Asia,★
China,2000,342318932,1063,20,59,Asia,★
France,2000,345422703,20460,24,89,Europe,★★★★★
UK,2000,347032714,8333,4,38,Europe,★★
Australia,2000,347421566,11110,17,69,Oceania,★★★
France,2000,351416643,23322,2,90,Europe,★★★★★
Germany,2000,354053122,2691,3,68,Europe,★
Canada,2000,354355082,11140,22,33,North America,★★★
France,2000,356992671,2637,4,63,Europe,★
USA,2000,360474087,18348,20,93,North America,★★★★
India,2000,361586995,23518,6,32,Asia,★★★★★
China,2000,361732180,6297,9,89,Asia,★★
UK,2000,368826180,6831,23,33,Europe,★★
China,2000,373660402,11739,20,10,Asia,★★★
Brazil,2000,374599788,14583,15,55,South America,★★★
UK,2000,378339425,2651,2,57,Europe,★
Brazil,2000,378709052,21456,20,36,South America,★★★★★
India,2000,379402224,15447,22,13,Asia,★★★★
UK,2000,379436301,11909,12,44,Europe,★★★
USA,2000,383852599,2276,21,49,North America,★
USA,2000,383942218,18135,18,71,North America,★★★★
India,2000,384481523,8334,6,43,Asia,★★
Australia,2000,386165166,1475,8,26,Oceania,★
Russia,2000,392108642,22369,3,43,Europe/Asia,★★★★★
Germany,2000,407100181,23103,10,66,Europe,★★★★★
Brazil,2000,410147474,7157,3,94,South America,★★
India,2000,410558538,18466,23,13,Asia,★★★★
Australia,2000,415275815,19896,15,61,Oceania,★★★★
UK,2000,418146026,19735,20,13,Europe,★★★★
Brazil,2000,418861657,17572,5,19,South America,★★★★
Australia,2000,426508897,7229,21,91,Oceania,★★
USA,2000,428064835,19007,5,61,North America,★★★★
Australia,2000,432779739,13685,21,21,Oceania,★★★
Germany,2000,440985562,14492,13,56,Europe,★★★
France,2000,441282840,3663,8,85,Europe,★
Brazil,2000,445675095,6093,14,52,South America,★★
France,2000,446891563,18334,10,41,Europe,★★★★
China,2000,447226912,6519,15,41,Asia,★★
China,2000,449933110,7961,5,73,Asia,★★
India,2000,452904788,6586,22,92,Asia,★★
USA,2000,453661527,1874,8,94,North America,★
USA,2000,459080033,24836,2,64,North America,★★★★★
India,2000,459958930,20939,24,45,Asia,★★★★★
Russia,2000,460083404,15664,4,11,Europe/Asia,★★★★
Russia,2000,463665693,20068,5,47,Europe/Asia,★★★★★
Brazil,2000,464230070,21841,8,87,South America,★★★★★
USA,2000,466228258,14343,14,90,North America,★★★
Germany,2000,468301419,23943,10,60,Europe,★★★★★
Russia,2000,471325445,17716,7,18,Europe/Asia,★★★★
France,2000,474515746,2740,23,20,Europe,★
India,2000,478629359,15929,18,25,Asia,★★★★
Brazil,2000,481920253,700,20,24,South America,★
Australia,2000,482889167,4682,8,23,Oceania,★
Australia,2000,483538908,3229,7,79,Oceania,★
USA,2000,485173921,14959,3,48,North America,★★★
USA,2000,485946233,3489,21,72,North America,★
Canada,2000,497018984,9117,23,42,North America,★★
Germany,2000,497767596,13736,18,40,Europe,★★★
Brazil,2000,502329375,19001,10,70,South America,★★★★
Canada,2000,503753644,24152,19,17,North America,★★★★★
China,2000,506544363,15562,4,62,Asia,★★★★
India,2000,506595817,16894,19,66,Asia,★★★★
Australia,2000,507690378,4946,4,58,Oceania,★
India,2000,508651426,13955,14,48,Asia,★★★
China,2000,520900524,21623,10,11,Asia,★★★★★
France,2000,537087782,1057,6,55,Europe,★
Germany,2000,544512316,24355,21,60,Europe,★★★★★
Australia,2000,545470701,13855,19,33,Oceania,★★★
France,2000,553694998,19885,5,95,Europe,★★★★
USA,2000,554411535,13934,4,22,North America,★★★
India,2000,555575708,22644,7,61,Asia,★★★★★
India,2000,555991238,8566,7,29,Asia,★★
Brazil,2000,559560080,17085,9,25,South America,★★★★
Brazil,2000,569321438,10723,3,33,South America,★★★
Brazil,2000,569517660,16871,19,24,South America,★★★★
Brazil,2000,573332331,18577,24,34,South America,★★★★
Canada,2000,583160837,13052,12,76,North America,★★★
Canada,2000,585281252,19431,5,85,North America,★★★★
USA,2000,593616921,20179,13,24,North America,★★★★★
USA,2000,600742351,8512,11,66,North America,★★
India,2000,601623267,10367,24,92,Asia,★★★
Canada,2000,610943705,18646,8,67,North America,★★★★
China,2000,615907969,12754,22,83,Asia,★★★
UK,2000,619562746,212,10,35,Europe,★
Australia,2000,622232702,4933,13,32,Oceania,★
India,2000,624133211,21528,5,89,Asia,★★★★★
India,2000,627782542,12074,10,65,Asia,★★★
Australia,2000,631655969,16324,2,43,Oceania,★★★★
Australia,2000,633453289,7124,18,31,Oceania,★★
Australia,2000,639613834,1406,11,79,Oceania,★
Russia,2000,639658711,1938,17,73,Europe/Asia,★
Russia,2000,640100163,12060,4,24,Europe/Asia,★★★
India,2000,641131400,19486,10,74,Asia,★★★★
France,2000,645146424,2569,2,20,Europe,★
China,2000,645971715,9297,5,48,Asia,★★
UK,2000,649596414,13240,22,87,Europe,★★★
France,2000,652090894,15941,19,30,Europe,★★★★
Australia,2000,654334979,13747,2,93,Oceania,★★★
Russia,2000,655054615,20694,6,85,Europe/Asia,★★★★★
UK,2000,658111873,3874,20,36,Europe,★
France,2000,659825370,17545,6,68,Europe,★★★★
Brazil,2000,661034046,12250,14,60,South America,★★★
India,2000,662071859,2391,18,44,Asia,★
Russia,2000,666497085,19990,11,74,Europe/Asia,★★★★
China,2000,670415181,2951,18,73,Asia,★
UK,2000,671048007,6621,4,22,Europe,★★
USA,2000,672046328,4036,9,11,North America,★
Canada,2000,677573441,1150,15,30,North America,★
China,2000,678503907,24091,3,93,Asia,★★★★★
Germany,2000,680029539,12335,13,13,Europe,★★★
Australia,2000,682938961,19659,3,31,Oceania,★★★★
Australia,2000,686132982,764,6,28,Oceania,★
Australia,2000,686918897,23861,9,39,Oceania,★★★★★
Russia,2000,715086865,3092,4,92,Europe/Asia,★
Germany,2000,717911738,15377,4,17,Europe,★★★★
France,2000,724115067,7546,11,49,Europe,★★
Australia,2000,728853972,10807,9,67,Oceania,★★★
Canada,2000,731603505,9845,11,54,North America,★★
Germany,2000,734098347,8259,7,33,Europe,★★
China,2000,734507211,10984,22,72,Asia,★★★
China,2000,737572576,13541,10,51,Asia,★★★
Australia,2000,738166785,15751,17,11,Oceania,★★★★
Australia,2000,743735175,15583,13,75,Oceania,★★★★
Brazil,2000,744436409,1656,9,84,South America,★
India,2000,747662864,23698,18,48,Asia,★★★★★
China,2000,753469043,10353,4,10,Asia,★★★
India,2000,763871301,413,11,43,Asia,★
India,2000,764638050,15036,9,40,Asia,★★★★
India,2000,776520845,13344,20,35,Asia,★★★
Russia,2000,777426810,19974,24,29,Europe/Asia,★★★★
Brazil,2000,785140423,13245,8,41,South America,★★★
Russia,2000,785428441,1655,18,51,Europe/Asia,★
France,2000,786864692,9609,20,22,Europe,★★
USA,2000,790263908,9015,12,75,North America,★★
France,2000,791980028,19946,7,65,Europe,★★★★
UK,2000,794604829,9386,22,25,Europe,★★
Canada,2000,797023100,3403,19,61,North America,★
Brazil,2000,800295838,4356,6,14,South America,★
Brazil,2000,800633247,10722,20,24,South America,★★★
Australia,2000,800877647,8345,10,21,Oceania,★★
Brazil,2000,801667346,17677,21,21,South America,★★★★
Germany,2000,802013911,15117,7,75,Europe,★★★★
France,2000,802105158,12278,23,56,Europe,★★★
Germany,2000,810263495,17559,4,44,Europe,★★★★
Canada,2000,816537029,18978,3,94,North America,★★★★
Germany,2000,817122822,4789,6,31,Europe,★
Australia,2000,820266741,9902,22,46,Oceania,★★
Canada,2000,821532710,17147,8,20,North America,★★★★
Australia,2000,822371326,11148,7,52,Oceania,★★★
Brazil,2000,826189157,2777,6,44,South America,★
Australia,2000,841847689,23384,20,48,Oceania,★★★★★
Canada,2000,848646461,24140,18,17,North America,★★★★★
China,2000,851187840,16596,14,64,Asia,★★★★
Australia,2000,851288655,12186,23,12,Oceania,★★★
China,2000,860139667,14999,24,97,Asia,★★★
Russia,2000,860549943,7411,16,59,Europe/Asia,★★
France,2000,862220775,8212,21,70,Europe,★★
Canada,2000,871469197,22161,18,89,North America,★★★★★
Russia,2000,873473407,10297,12,81,Europe/Asia,★★★
France,2000,879365371,2506,22,17,Europe,★
France,2000,890203805,1815,20,58,Europe,★
USA,2000,890545574,7473,21,97,North America,★★
Russia,2000,896023795,14319,2,37,Europe/Asia,★★★
UK,2000,896901432,19745,4,45,Europe,★★★★
Germany,2000,896954017,14745,10,43,Europe,★★★
Australia,2000,898462647,16630,10,64,Oceania,★★★★
India,2000,899482092,9228,17,92,Asia,★★
Brazil,2000,900660070,4016,23,30,South America,★
UK,2000,913226590,3439,11,50,Europe,★
India,2000,913960042,16578,5,70,Asia,★★★★
Russia,2000,923470473,11995,5,46,Europe/Asia,★★★
Australia,2000,926467226,2876,9,92,Oceania,★
China,2000,927387379,4997,2,41,Asia,★
Brazil,2000,930977131,3504,12,53,South America,★
China,2000,935706834,19862,21,14,Asia,★★★★
USA,2000,940326324,22148,9,47,North America,★★★★★
France,2000,941883967,22044,23,58,Europe,★★★★★
Russia,2000,945807807,10644,9,67,Europe/Asia,★★★
Germany,2000,945880561,4194,22,16,Europe,★
Australia,2000,945935678,24422,23,73,Oceania,★★★★★
UK,2000,949814979,2549,2,45,Europe,★
UK,2000,955295247,16027,23,45,Europe,★★★★
USA,2000,957273208,9621,11,12,North America,★★
China,2000,960130846,20606,24,59,Asia,★★★★★
France,2000,964563809,8290,20,95,Europe,★★
Brazil,2000,970280206,5800,4,13,South America,★★
Germany,2000,974398637,21730,8,81,Europe,★★★★★
USA,2000,975300850,16640,20,43,North America,★★★★
Canada,2000,978459174,23669,23,44,North America,★★★★★
UK,2000,978634995,8789,11,97,Europe,★★
UK,2000,983938798,3465,10,48,Europe,★
Australia,2000,984259787,3991,15,78,Oceania,★
France,2000,985124699,22236,20,98,Europe,★★★★★
USA,2000,988071191,6156,19,48,North America,★★
USA,2000,989621069,8013,12,21,North America,★★
France,2000,993700557,9422,15,41,Europe,★★
India,2000,996557905,5507,24,17,Asia,★★
India,2000,1000345167,12389,17,57,Asia,★★★
Russia,2000,1001353941,4650,2,88,Europe/Asia,★
India,2000,1001863881,3208,7,17,Asia,★
Canada,2000,1008770627,3341,24,90,North America,★
Germany,2000,1017376311,13274,16,90,Europe,★★★
France,2000,1019965898,21172,8,11,Europe,★★★★★
Australia,2000,1030911665,3107,2,39,Oceania,★
USA,2000,1049771333,12376,20,87,North America,★★★
France,2000,1052950122,21178,14,79,Europe,★★★★★
Russia,2000,1056508729,9337,21,67,Europe/Asia,★★
USA,2000,1062617005,10418,9,20,North America,★★★
France,2000,1069024291,10622,2,64,Europe,★★★
UK,2000,1071256529,19002,24,96,Europe,★★★★
USA,2000,1073743498,7938,13,20,North America,★★
India,2000,1073749740,18374,16,39,Asia,★★★★
India,2000,1074123835,14410,9,40,Asia,★★★
USA,2000,1081529663,17924,9,34,North America,★★★★
USA,2000,1081954803,20147,13,51,North America,★★★★★
China,2000,1087874171,18983,13,21,Asia,★★★★
Australia,2000,1088815238,19642,6,41,Oceania,★★★★
Australia,2000,1089167682,16227,10,20,Oceania,★★★★
Germany,2000,1096940761,10627,2,28,Europe,★★★
China,2000,1097084798,21213,20,83,Asia,★★★★★
Brazil,2000,1101443347,4196,14,89,South America,★
Germany,2000,1108834145,14195,16,26,Europe,★★★
Brazil,2000,1113860401,2142,24,45,South America,★
France,2000,1114967743,20976,5,69,Europe,★★★★★
China,2000,1120023611,14874,24,77,Asia,★★★
UK,2000,1123022962,23181,4,39,Europe,★★★★★
Germany,2000,1125379514,22016,22,68,Europe,★★★★★
India,2000,1132370911,5526,11,34,Asia,★★
USA,2000,1137262082,19760,2,10,North America,★★★★
Russia,2000,1138467939,14714,12,55,Europe/Asia,★★★
Canada,2000,1144096118,13846,16,86,North America,★★★
USA,2000,1144946199,6662,5,76,North America,★★
Germany,2000,1160772028,11313,13,88,Europe,★★★
USA,2000,1162497439,3902,23,41,North America,★
India,2000,1166824953,1790,5,81,Asia,★
UK,2000,1180227270,14252,12,31,Europe,★★★
France,2000,1187603914,532,9,98,Europe,★
USA,2000,1188040227,10072,8,98,North America,★★★
Germany,2000,1190149820,735,8,34,Europe,★
UK,2000,1197489643,270,4,93,Europe,★
Australia,2000,1197985280,8648,4,26,Oceania,★★
USA,2000,1207137279,10448,7,70,North America,★★★
Australia,2000,1211494419,22952,13,23,Oceania,★★★★★
Russia,2000,1217689736,23485,21,15,Europe/Asia,★★★★★
UK,2000,1220413943,2716,14,68,Europe,★
Australia,2000,1230818555,11046,9,69,Oceania,★★★
China,2000,1239919185,12842,19,61,Asia,★★★
France,2000,1242002559,387,12,22,Europe,★
Brazil,2000,1243375113,17085,20,86,South America,★★★★
China,2000,1246161266,20553,19,96,Asia,★★★★★
Germany,2000,1248655198,9612,6,32,Europe,★★
Russia,2000,1256642546,21160,20,82,Europe/Asia,★★★★★
India,2000,1257311006,11752,11,92,Asia,★★★
Canada,2000,1257922027,16243,22,94,North America,★★★★
France,2000,1258581627,23354,23,65,Europe,★★★★★
UK,2000,1262632908,5509,6,58,Europe,★★
Germany,2000,1263362171,8992,15,83,Europe,★★
Russia,2000,1265294061,24217,24,41,Europe/Asia,★★★★★
Russia,2000,1267559019,4728,11,42,Europe/Asia,★
Germany,2000,1267712635,22383,3,75,Europe,★★★★★
China,2000,1273234854,17433,20,72,Asia,★★★★
Australia,2000,1275534646,21647,15,65,Oceania,★★★★★
Australia,2000,1277201606,21474,11,62,Oceania,★★★★★
Canada,2000,1278208466,5683,6,60,North America,★★
Russia,2000,1280799659,9525,7,44,Europe/Asia,★★
Brazil,2000,1284447172,15432,15,45,South America,★★★★
China,2000,1288470977,739,14,31,Asia,★
Canada,2000,1296451213,10279,13,93,North America,★★★
Canada,2000,1306342280,6878,6,67,North America,★★
Russia,2000,1315023290,1502,19,78,Europe/Asia,★
Canada,2000,1316764565,24373,23,22,North America,★★★★★
Australia,2000,1334941393,17566,12,33,Oceania,★★★★
Canada,2000,1336821363,6243,20,62,North America,★★
Brazil,2000,1341816717,21796,13,70,South America,★★★★★
Australia,2000,1346545453,338,3,36,Oceania,★
Russia,2000,1348618899,11189,24,66,Europe/Asia,★★★
China,2000,1349700338,21067,11,45,Asia,★★★★★
France,2000,1351958333,588,17,43,Europe,★
Brazil,2000,1352835363,23350,4,33,South America,★★★★★
Russia,2000,1354535729,6836,3,57,Europe/Asia,★★
India,2000,1356892708,21312,4,83,Asia,★★★★★
Russia,2000,1372000947,21334,4,22,Europe/Asia,★★★★★
Canada,2000,1372581264,16800,12,27,North America,★★★★
India,2000,1384547014,18770,13,76,Asia,★★★★
China,2000,1384810331,21214,22,82,Asia,★★★★★
Brazil,2000,1389602130,655,2,17,South America,★
France,2000,1390625329,1909,22,44,Europe,★
India,2000,1399236801,2060,14,75,Asia,★
USA,2001,6200148,9124,5,62,North America,★★
UK,2001,6960445,18237,9,66,Europe,★★★★
Canada,2001,7156393,14631,22,12,North America,★★★
Australia,2001,14603514,653,13,87,Oceania,★
China,2001,15441302,21910,10,66,Asia,★★★★★
India,2001,16662494,5553,8,31,Asia,★★
France,2001,25930683,8496,6,44,Europe,★★
Russia,2001,26864469,18907,9,92,Europe/Asia,★★★★
Germany,2001,28954417,14657,10,39,Europe,★★★
France,2001,31623225,15306,8,66,Europe,★★★★
India,2001,33376841,23752,13,74,Asia,★★★★★
India,2001,34204250,1551,16,32,Asia,★
Germany,2001,36590007,3266,4,77,Europe,★
Brazil,2001,38277080,8364,12,91,South America,★★
USA,2001,43351954,23082,13,53,North America,★★★★★
Brazil,2001,47123581,11564,11,86,South America,★★★
Germany,2001,49785626,3039,22,29,Europe,★
UK,2001,52754265,10690,12,93,Europe,★★★
Canada,2001,59430449,10651,21,43,North America,★★★
UK,2001,62707340,18605,17,17,Europe,★★★★
USA,2001,67032228,4686,23,71,North America,★
Australia,2001,67974905,18218,21,45,Oceania,★★★★
Australia,2001,70063439,21644,10,23,Oceania,★★★★★
Brazil,2001,72752097,7872,11,89,South America,★★
China,2001,75488483,22546,13,83,Asia,★★★★★
Canada,2001,77399612,5570,4,22,North America,★★
Canada,2001,77428465,1709,18,13,North America,★
Germany,2001,79730123,16043,16,10,Europe,★★★★
Australia,2001,82584887,3177,16,31,Oceania,★
USA,2001,104390369,19202,7,48,North America,★★★★
Australia,2001,104971376,20111,4,45,Oceania,★★★★★
Russia,2001,105336374,9146,23,11,Europe/Asia,★★
Australia,2001,107211370,12181,23,80,Oceania,★★★
Germany,2001,108530264,8429,13,68,Europe,★★
Germany,2001,118801558,21354,19,40,Europe,★★★★★
China,2001,141349790,11026,5,59,Asia,★★★
USA,2001,142537119,3477,4,29,North America,★
Russia,2001,145746835,19465,10,55,Europe/Asia,★★★★
India,2001,147099941,19329,17,30,Asia,★★★★
Australia,2001,150400366,23980,8,70,Oceania,★★★★★
Brazil,2001,151318875,11936,20,11,South America,★★★
France,2001,152351802,4450,8,43,Europe,★
Germany,2001,159105832,6981,22,59,Europe,★★
Brazil,2001,160787772,11511,20,61,South America,★★★
Canada,2001,164868491,22774,11,92,North America,★★★★★
USA,2001,165528270,11129,24,83,North America,★★★
France,2001,170262360,8559,2,67,Europe,★★
France,2001,172805405,18260,19,93,Europe,★★★★
Canada,2001,178506099,15472,20,26,North America,★★★★
UK,2001,180392198,13340,14,65,Europe,★★★
India,2001,181937255,2335,6,72,Asia,★
China,2001,183150126,19327,3,42,Asia,★★★★
Canada,2001,184835908,14126,23,79,North America,★★★
UK,2001,188674425,1799,24,59,Europe,★
Russia,2001,189077427,9578,23,85,Europe/Asia,★★
Germany,2001,189186169,11236,21,15,Europe,★★★
France,2001,195382989,1878,20,83,Europe,★
USA,2001,201906316,15063,3,41,North America,★★★★
China,2001,204120876,141,8,65,Asia,★
Australia,2001,209449581,23455,4,83,Oceania,★★★★★
Germany,2001,210247239,4591,3,45,Europe,★
China,2001,210357536,15436,11,70,Asia,★★★★
Canada,2001,221072139,6053,9,76,North America,★★
China,2001,222257791,5315,3,88,Asia,★★
Canada,2001,228791529,7318,3,44,North America,★★
France,2001,228795791,1228,12,47,Europe,★
Brazil,2001,230246012,5042,7,12,South America,★★
USA,2001,233098277,20353,2,92,North America,★★★★★
China,2001,238851570,5725,21,57,Asia,★★
USA,2001,239240198,24296,9,11,North America,★★★★★
USA,2001,240244891,3730,13,61,North America,★
India,2001,243426520,15762,15,52,Asia,★★★★
India,2001,252134998,16153,14,46,Asia,★★★★
India,2001,252808351,13344,9,95,Asia,★★★
Canada,2001,254010758,2086,9,97,North America,★
Germany,2001,258609007,2383,6,60,Europe,★
USA,2001,260269328,8241,23,46,North America,★★
Brazil,2001,260981264,15434,8,37,South America,★★★★
USA,2001,261266736,15887,22,87,North America,★★★★
France,2001,266361733,19029,24,90,Europe,★★★★
Canada,2001,267163433,16199,2,27,North America,★★★★
Brazil,2001,268250814,18432,17,48,South America,★★★★
China,2001,268686012,20367,14,13,Asia,★★★★★
India,2001,271905808,13486,9,79,Asia,★★★
Canada,2001,275646551,9214,2,72,North America,★★
Canada,2001,277565591,11662,2,95,North America,★★★
Canada,2001,278386431,24149,13,14,North America,★★★★★
Australia,2001,283566916,9197,5,96,Oceania,★★
Russia,2001,283770947,11165,13,34,Europe/Asia,★★★
France,2001,286558633,17337,15,41,Europe,★★★★
China,2001,287050620,21895,22,42,Asia,★★★★★
USA,2001,293943530,17936,9,59,North America,★★★★
Brazil,2001,297291965,10147,21,79,South America,★★★
Germany,2001,299143567,12860,7,52,Europe,★★★
China,2001,302343206,18945,11,92,Asia,★★★★
France,2001,307067216,14615,9,41,Europe,★★★
Canada,2001,315647474,7995,3,52,North America,★★
Russia,2001,315880157,18963,6,93,Europe/Asia,★★★★
Australia,2001,322447480,4203,17,38,Oceania,★
Brazil,2001,324228943,14595,13,47,South America,★★★
UK,2001,327151964,2348,12,90,Europe,★
Brazil,2001,327801348,14938,23,86,South America,★★★
UK,2001,328890728,5051,8,73,Europe,★★
Australia,2001,338233895,2855,8,20,Oceania,★
India,2001,343010719,12968,18,98,Asia,★★★
UK,2001,352267474,13335,14,39,Europe,★★★
USA,2001,357880633,9039,3,66,North America,★★
France,2001,362213937,18007,18,73,Europe,★★★★
India,2001,364612368,23002,13,41,Asia,★★★★★
Brazil,2001,370374602,15210,16,36,South America,★★★★
Germany,2001,373128920,9426,12,75,Europe,★★
France,2001,376595559,20234,5,58,Europe,★★★★★
Australia,2001,378342987,14265,22,86,Oceania,★★★
India,2001,379730485,24991,16,60,Asia,★★★★★
USA,2001,381186456,13147,6,23,North America,★★★
India,2001,381566676,18017,21,32,Asia,★★★★
USA,2001,385859399,12772,23,90,North America,★★★
USA,2001,399844417,18079,13,57,North America,★★★★
Canada,2001,411871993,4130,16,75,North America,★
UK,2001,415292981,3097,12,67,Europe,★
India,2001,423534362,21449,13,21,Asia,★★★★★
Australia,2001,424258801,10653,22,37,Oceania,★★★
China,2001,426637059,1586,8,94,Asia,★
France,2001,432340718,247,19,22,Europe,★
Brazil,2001,433561804,11940,11,63,South America,★★★
India,2001,439580972,23947,22,18,Asia,★★★★★
Australia,2001,439787745,1113,5,88,Oceania,★
France,2001,441106453,16500,17,11,Europe,★★★★
UK,2001,448711531,20988,13,32,Europe,★★★★★
France,2001,451418476,16228,16,76,Europe,★★★★
Canada,2001,453229400,1344,10,67,North America,★
Russia,2001,454732582,12965,18,68,Europe/Asia,★★★
India,2001,455286393,4378,3,76,Asia,★
Australia,2001,455722149,6349,17,44,Oceania,★★
Brazil,2001,456887833,2769,6,14,South America,★
USA,2001,464273803,11476,18,82,North America,★★★
Canada,2001,466134702,20779,23,56,North America,★★★★★
UK,2001,466210962,20366,23,38,Europe,★★★★★
India,2001,467167655,19615,16,95,Asia,★★★★
Brazil,2001,472892022,11635,6,36,South America,★★★
Germany,2001,479591654,7906,21,60,Europe,★★
Russia,2001,480305562,1356,4,20,Europe/Asia,★
Australia,2001,480433499,989,2,37,Oceania,★
Germany,2001,482040362,8043,24,85,Europe,★★
Australia,2001,492265402,13079,16,30,Oceania,★★★
Russia,2001,493403535,4706,7,93,Europe/Asia,★
UK,2001,496214753,4994,10,14,Europe,★
UK,2001,497338419,17209,3,96,Europe,★★★★
Russia,2001,506530809,2051,3,65,Europe/Asia,★
Australia,2001,506792502,8374,15,48,Oceania,★★
UK,2001,507751218,17661,16,41,Europe,★★★★
India,2001,511996551,15935,9,37,Asia,★★★★
USA,2001,512563588,4834,3,79,North America,★
Russia,2001,517697853,4361,17,64,Europe/Asia,★
USA,2001,518409341,12333,14,36,North America,★★★
UK,2001,525991844,4406,9,23,Europe,★
Brazil,2001,530338699,3811,8,29,South America,★
Australia,2001,532548030,14141,8,90,Oceania,★★★
India,2001,533176666,16362,15,52,Asia,★★★★
Canada,2001,539498207,10698,16,19,North America,★★★
Australia,2001,543733989,10341,22,54,Oceania,★★★
Germany,2001,545565393,10471,8,15,Europe,★★★
India,2001,546236882,19560,14,54,Asia,★★★★
Canada,2001,552409623,10369,4,58,North America,★★★
